Government Wine Cellar - wine and spirit consumption and sales April 2015 - March 2016,,,
Wines consumed,,,
Country/Region,Vintage,Product name,Consumption
RHONE,1998,Cotes du Rhone Villages Notre Dame de Cellettes   Dom. Ste Anne,4
RHONE,1998,Cote-Rotie   Robert et Patrick Jasmin,7
RHONE,1998,Gigondas  Chateau du Trignon,4
RHONE,1998,Gigondas   Dom. Perrin,12
RHONE,2007,Chateauneuf-du-Pape Chante le Merle   Bosquet des Papes,1
RHONE,2007,Chateauneuf-du-Pape Dom. des Senechaux   JM Cazes,1
RHONE,2007,Cote-Rotie  Dom. Jean-Michel Stephan,1
SOUTH AFRICA,2003,Hamilton Russell Pinot Noir Walker Bay ,6
SOUTH AFRICA,2008,Klein Constantia Vin de Constance ,19
SPAIN,1991,Pesquera Reserva ,2
SPAIN,2000,Muga Rioja Reserva ,15
SPIRITS,,Johnny Walker Black Label Whisky ,1.5
SPIRITS,,Caol Ila 18 year old  Single Malt Whisky,0.5
SPIRITS,,Gin,43
SPIRITS,,Martini,1
SPIRITS,,Vodka,6
Wines sold,,,
Country/Region,Vintage,Product name,Consumption
,1970,Chateau Petrus ,5
,1983,Chateau Margaux ,24
,1990,Chateau Pichon-Longueville Baron ,48
,1995,Chateau Brane-Cantenac ,36
,1999,Savigny Les Beaune Les Lavieres Dom. Chandon de Briailles  ,24
,2002,Vosne Romanee Dom. Michel Gros,24
,1983,Graham,36
,1985,Warre ,24
