Government Wine Cellar - Wine and Spirit Consumption and Sales April 2016 - March 2017,,,
,,,
Annual Consumption,,,
Country/Region,Vintage,Product name,Consumption
ENGLISH (SPARKLING),2009,Ridgeview Grosvenor,5
ENGLISH (SPARKLING),2010,Ancre Hill Estate,22
ENGLISH (SPARKLING),2010,Breaky Bottom Koizumi Yakumo,29
ENGLISH (SPARKLING),2010,Nyetimber Classic Cuvee Reserve,35
ENGLISH (SPARKLING),2013,Ridgeview Bloomsbury,40
ITALY,1999,Brunello di Montalcino Talenti,4
ITALY,2001,Flaccianello della Pieve Fontodi,5
LOIRE,2010,Sancerre Nuance  Vincent Pinard,3
LOIRE,2010,Vouvray Le Mont Sec,1
MOSEL,2001,Graacher Himmelreich Riesling Spatlese   JJ Prum,4
MOSEL,2001,Wehlener Sonnenuhr Riesling Spatlese   JJ Prum,5
MOSEL,2007,Bernkasteler Badstube Riesling Kabinet  JJ Prum,5
MOSEL,2007,Maximin Grunhauser Abtsberg Riesling Kabinett   von Schubert,8
NEW ZEALAND,2004,Dry River Pinot Noir Martinborough,4
NEW ZEALAND,2011,Dog Point Vineyard Chardonnay Marlborough,32
NEW ZEALAND,2013,Dry River Chardonnay Martinborough,1
PORT,1977,Dow ,1
PORT,1977,Taylor ,24
PORT,1977,Warre ,2
PORT,1983,Dow ,5
PORT,1983,Fonseca ,5
PORT,1983,Graham ,1
PORT,1983,Taylor ,2
PORT,1983,Warre ,5
PORT,1985,Churchill,1
PORT,1985,Coft,5
PORT,1985,Graham,3
PORT,1985,Taylor ,1
PORT,1994,Warre ,1
RHINE,2001,Forster Jesuitengarten Riesling Kabinett,1
RHINE,2011,Roxheimer Hollenpfad Riesling Trocken Herman Donnhoff,4
RHONE,1998,Cotes du Rhone Villages Notre Dame de Cellettes   Dom. Ste Anne,5
RHONE,1998,Cote-Rotie Jasmin ,3
RHONE,1998,Chateauneuf-du-Pape Clos des Papes,3
RHONE,1998,Gigondas Domain Perrin,5
SOUTH AFRICA,2002,Mont Du Toit,2
SOUTH AFRICA,2008,Hamilton Russell Vineyards Chardonnay,2
SPAIN,1999,Vega Sicilia Valbuena Cosecha,9
SPAIN,2000,Rioja Muga Reserva,6
SPAIN,2000,Ribera del Duero Alion Cosecha,1
SPAIN,2001,Rioja Calvario Finca Allende,12
USA,2000,Dominus Napa Valley Christian Moueix,1
RECEPTION WINES,2012,Berry Bros Good Ordinary Claret ,5
RECEPTION WINES,2012,Cotes du Rhone Dom. de La Bastide ,567
